Sample,Region,Age,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,L.O.I,Total,P,K,Sc,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,Ga,Ge,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Age (Ma),87Rb/86Sr,87Sr/86Sr,2s,(87Sr/86Sr)i,147Sm/144Nd,143Nd/144Nd,2s,TDM(Ga),εNd(t),,,mAl2O3,mCaO,mNa2O,mK2O,mFeO,TFeO,mMgO,Mg#,Na2O/K2O,0.111111111,0.056847545,0.884353741,Ce/Pb,Nb/Ta,nLa,nCe,nPr,nNd,nSm,nEu,nGd,nTb,nDy,nHo,nEr,nTm,nYb,nLu
EGN-20,West,Late J,56.12,1.28,17.5,5.8,1.27,0.12,2.27,6.22,4.02,2.18,0.62,2.26,99.66,,,10.61,,133.2,,,20.47,28.42,,,,,51.81,1019,17.96,307.7,10.68,,964.4,57.03,131.8,15.35,54.06,9.66,2.55,8.09,0.89,4.2,0.7,1.81,0.24,1.52,0.21,7.77,0.63,,5.32,1.19,126.1,0.1475,0.705445,±14,0.70515,0.1081,0.51258,± 9,,0.45,,,0.171568627,0.111071429,0.06483871,0.023191489,0.090122778,6.48884,0.05675,38.63888248,1.844036697,0.1125,0.124113475,1.193430657,#DIV/0!,16.95238095,240.633 ,215.359 ,161.579 ,115.760 ,63.137 ,43.966 ,39.367 ,23.797 ,16.535 ,12.367 ,10.937 ,9.412 ,8.941 ,8.268 
EGN-24,West,Late J,56.68,1.23,17.91,6.04,1.32,0.1,1.77,4.46,5.32,2.45,0.58,2.32,100.18,,,10.5,,123.4,,,16.01,24.85,,,,,48.26,1379,16.84,339.5,10.49,,1635,58.68,132.9,15.58,54.25,9.93,2.6,8.06,0.88,3.77,0.68,1.73,0.24,1.49,0.19,8.65,0.66,,6.09,1.25,126.1,,,,,,,,,,,,0.175588235,0.079642857,0.085806452,0.02606383,0.093816556,6.754792,0.04425,32.04976022,2.171428571,0.143364929,0.156084656,1.380228137,#DIV/0!,15.89393939,247.595 ,217.157 ,164.000 ,116.167 ,64.902 ,44.828 ,39.221 ,23.529 ,14.843 ,12.014 ,10.453 ,9.412 ,8.765 ,7.480 
EGN-34,West,Late J,57.6,1.11,17.31,4.01,1.76,0.11,1.68,4.87,5.22,1.32,0.48,4.7,100.17,,,10.24,,116.1,,,19.66,34.59,,,,,47.31,770,15.96,246.2,7.85,,790.6,44.2,91.2,12.34,43.61,8.25,2.48,7.24,0.78,3.54,0.62,1.54,0.21,1.31,0.18,6.46,0.51,,5.76,1.39,126.1,0.1782,0.70524,±13,0.70502,0.1144,0.512609,±10,,0.91,,,0.169705882,0.086964286,0.084193548,0.014042553,0.074558306,5.368198,0.042,36.03346823,3.954545455,0.483300589,0.695121951,1.390334572,#DIV/0!,15.39215686,186.498 ,149.020 ,129.895 ,93.383 ,53.922 ,42.759 ,35.231 ,20.856 ,13.937 ,10.954 ,9.305 ,8.235 ,7.706 ,7.087 
HLR-11,West,Late J,56.82,1.03,17.63,3.43,2.82,0.08,3.81,6.09,3.69,1.84,0.38,2.86,100.48,,,9.01,,122.4,,,18.66,34.88,,,,,45.59,1095,15.59,203.3,5.99,,911.8,30.76,72.58,8.82,31.76,6.55,1.97,5.77,0.66,3.27,0.59,1.55,0.23,1.44,0.2,5.73,0.44,,4.82,1.39,129.5,0.1207,0.70524,± 13,0.70502,0.1252,0.512621,± 6,,0.85,,,0.172843137,0.10875,0.059516129,0.019574468,0.082032139,5.906314,0.09525,53.72791675,2.005434783,0.564705882,0.74392936,1.581395349,#DIV/0!,13.61363636,129.789 ,118.595 ,92.842 ,68.009 ,42.810 ,33.966 ,28.078 ,17.647 ,12.874 ,10.424 ,9.366 ,9.020 ,8.471 ,7.874 
HLR-13,West,Late J,55.74,1.07,17.97,3.65,3.06,0.11,2.5,6.83,4.19,1.91,0.4,2.64,100.07,,,9.46,,127.2,,,22.08,40.35,,,,,40.08,1060,14.88,192,5.61,,806.5,29.38,69.75,8.68,32.9,6.55,1.9,5.64,0.68,3.23,0.6,1.53,0.21,1.42,0.2,5.65,0.41,,4.55,1.33,129.5,0.1079,0.705222,± 14,0.70502,0.1209,0.512602,± 8,,0.55,,,0.176176471,0.121964286,0.067580645,0.020319149,0.088114861,6.34427,0.0625,41.49656916,2.193717277,0.587755102,0.756152125,1.664,#DIV/0!,13.68292683,123.966 ,113.971 ,91.368 ,70.450 ,42.810 ,32.759 ,27.445 ,18.182 ,12.717 ,10.601 ,9.245 ,8.235 ,8.353 ,7.874 
P10TC12,West,Mid J,56.06,1.15,17.95,5.09,2.38,0.06,2.74,5.62,4.76,2.3,0.45,1.16,99.72,,,,,,,,,,,,,,57,1450,14.5,220,11,,1140,47.7,91.4,9.65,44.7,6.09,1.85,4.72,0.76,4.11,0.69,1.84,0.23,1.29,0.17,4.4,0.99,,7.9,,134–152,,,,,,,,,,,,0.175980392,0.100357143,0.076774194,0.024468085,0.096666417,6.959982,0.0685,41.47332211,2.069565217,0.614107884,0.779545455,1.830601093,#DIV/0!,11.11111111,201.266 ,149.346 ,101.579 ,95.717 ,39.804 ,31.897 ,22.968 ,20.321 ,16.181 ,12.191 ,11.118 ,9.020 ,7.588 ,6.693 
P4LT130,West,Mid J,57.5,0.7,17.91,3.34,5.12,0.04,1.51,4.5,4.5,2.65,0.35,2.22,100.34,,,,,,,,,,,,,,64,910,12.4,180,8.3,,1020,40.2,76.4,7.41,35,5,1.49,3.85,0.49,2.19,0.61,1.36,0.2,1.25,0.17,3.8,1.3,,6.7,,134–152,,,,,,,,,,,,0.175588235,0.080357143,0.072580645,0.028191489,0.112851833,8.125332,0.03775,25.06609592,1.698113208,0.677865613,1.012077295,1.837438424,#DIV/0!,6.384615385,169.620 ,124.837 ,78.000 ,74.946 ,32.680 ,25.690 ,18.735 ,13.102 ,8.622 ,10.777 ,8.218 ,7.843 ,7.353 ,6.693 
P4TC46,West,Mid J,56,0.9,18.35,3.82,3.14,0.09,1.46,6.3,4.69,2.5,0.35,2.58,100.18,,,,,,,,,,,,,,62,1120,11.9,170,8.5,,1150,38.2,65.6,6.88,33.5,4.56,1.44,3.9,0.56,3.15,0.61,1.37,0.2,1.33,0.14,3.9,0.86,,6.4,,134–152,,,,,,,,,,,,0.179901961,0.1125,0.075645161,0.026595745,0.0913505,6.577236,0.0365,28.5489693,1.876,0.715498938,1.122194514,1.850828729,#DIV/0!,9.88372093,161.181 ,107.190 ,72.421 ,71.734 ,29.804 ,24.828 ,18.978 ,14.973 ,12.402 ,10.777 ,8.278 ,7.843 ,7.824 ,5.512 
0075-1,West,Late J,65.58,0.67,15.4,2.15,2.05,0.05,1.55,2.98,4.56,4.05,0.18,0.5,99.72,,,,,,,,,8.616,,,9.97,,75.83,347.9,7.03,158.7,5.06,,365.6,17.6,36.56,4.43,15.32,2.499,0.511,1.66,0.243,1.219,0.217,0.616,0.09,0.6,0.093,4.094,0.348,,9.376,1.332,133,,,,,,,,,,,,0.150980392,0.053214286,0.073548387,0.043085106,0.05534125,3.98457,0.03875,41.18342566,1.125925926,0.72983871,1.726907631,1.856410256,#DIV/0!,14.54022989,74.262 ,59.739 ,46.632 ,32.805 ,16.333 ,8.810 ,8.078 ,6.497 ,4.799 ,3.834 ,3.722 ,3.529 ,3.529 ,3.661 
0075-3,West,Late J,64.62,0.74,15.11,2.38,2.45,0.07,1.86,3.42,4.18,3.97,0.21,0.71,99.72,,,,,,,,,9.498,,,10.13,,73.42,373.8,8.185,138.6,5.701,,386.1,19.32,40.14,4.973,17.37,2.863,0.536,1.897,0.281,1.441,0.258,0.701,0.106,0.674,0.1,3.687,0.429,,10.16,2.227,133,,,,,,,,,,,,0.148137255,0.061071429,0.067419355,0.042234043,0.063771167,4.591524,0.0465,42.16877485,1.052896725,0.743589744,1.838235294,1.876404494,#DIV/0!,13.28904429,81.519 ,65.588 ,52.347 ,37.195 ,18.712 ,9.241 ,9.231 ,7.513 ,5.673 ,4.558 ,4.236 ,4.157 ,3.965 ,3.937 
0075-5,West,Late J,65.01,0.71,14.88,2.34,2.32,0.06,1.92,2.91,4.57,4,0.2,0.84,99.76,,,,,,,,,11.22,,,9.915,,76.87,330.3,8.046,183,5.774,,374.1,19.28,40.15,4.979,17.23,2.804,0.506,1.887,0.278,1.405,0.251,0.694,0.103,0.661,0.102,4.744,0.428,,10.77,1.547,133,,,,,,,,,,,,0.145882353,0.051964286,0.073709677,0.042553191,0.061465722,4.425532,0.048,43.849343,1.1425,0.83677686,1.924603175,1.886877828,#DIV/0!,13.49065421,81.350 ,65.605 ,52.411 ,36.895 ,18.327 ,8.724 ,9.182 ,7.433 ,5.531 ,4.435 ,4.193 ,4.039 ,3.888 ,4.016 
0075-7,West,Late J,64.98,0.72,14.87,2.26,2.47,0.06,1.93,3.3,4.28,4.01,0.2,0.67,99.75,,,,,,,,,10.95,,,10,,77.82,344.1,7.917,188.2,5.419,,347.6,18.1,37.97,4.699,16.47,2.753,0.519,1.792,0.277,1.399,0.251,0.638,0.101,0.661,0.099,4.903,0.412,,10.72,1.545,133,,,,,,,,,,,,0.145784314,0.058928571,0.069032258,0.042659574,0.062549278,4.503548,0.04825,43.54721526,1.067331671,0.87704918,3.443609023,1.889447236,#DIV/0!,13.15291262,76.371 ,62.042 ,49.463 ,35.268 ,17.993 ,8.948 ,8.720 ,7.406 ,5.508 ,4.435 ,3.855 ,3.961 ,3.888 ,3.898 
